city,lat,lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,date
Bandarbeyla,9.4942,50.8122,27.9,79,45,3.46,SO,1619037966
Matamba,-8.9833,33.9667,12.47,95,88,2.05,TZ,1619037966
San Patricio,28.017,-97.5169,22.78,43,90,6.17,US,1619037966
Mackenzie,55.2999,-123.1698,12.0,35,1,3.6,CA,1619037967
Meulaboh,4.1363,96.1285,24.89,88,87,1.39,ID,1619037967
Finspång,58.7058,15.7674,5.0,70,90,3.6,SE,1619037967
Agía Galíni,35.1,24.6833,13.89,76,13,2.18,GR,1619037967
Mount Gambier,-37.8333,140.7667,9.0,93,99,3.6,AU,1619037968
Hervey Bay,-25.2986,152.8535,17.78,95,13,2.24,AU,1619037968
Galle,6.0367,80.217,26.98,80,100,2.97,LK,1619037968
Bontang,0.1333,117.5,25.06,87,100,2.63,ID,1619037968
Río Gallegos,-51.6226,-69.2181,9.0,43,0,4.12,AR,1619037969
Mombetsu,44.3525,143.3525,0.56,81,95,8.05,JP,1619037969
Sinnamary,5.3833,-52.95,25.42,88,100,5.52,GF,1619037969
Laurel,39.0993,-76.8483,13.0,43,40,6.69,US,1619037898
Zliv,49.0661,14.3661,7.22,86,99,1.42,CZ,1619037970
Mabaruma,8.2,-59.7833,27.36,69,33,3.23,GY,1619037970
Ottumwa,41.02,-92.4113,8.33,37,100,3.13,US,1619037970
